equipamento,flange_id,n_pontos,centroid_x,centroid_y,centroid_z,extensao_x,extensao_y,extensao_z
equipamento16,33,1213,4253725.0774,6665955.5531,3010.9514,105.042,113.387,113.269
equipamento16,34,1194,4253583.7861,6665940.7393,3010.1391,68.629,118.612,108.4348
equipamento16,35,13353,4255225.8924,6668020.4482,3158.9975,247.4961,284.829,288.5649
equipamento16,36,4517,4255223.3823,6668469.3294,3004.5725,103.9971,192.0488,176.428
equipamento17,0,3400,4256172.5708,6662482.9227,2052.2332,160.2891,157.3521,116.368
equipamento17,1,1957,4256205.1573,6662911.6432,1338.1632,162.2974,124.303,173.9961
equipamento17,2,1890,4256924.8678,6663553.4899,3865.0844,285.9941,144.3169,296.1179
equipamento17,3,14321,4256423.8669,6663827.4769,3827.2329,174.6387,290.292,288.4541
equipamento17,4,8247,4256827.6636,6662796.9775,3849.6164,285.75,164.9119,291.2969
equipamento17,5,6579,4256826.7522,6663152.9248,3839.3291,285.8564,168.1702,284.439
equipamento17,6,2185,4256019.9072,6662299.4463,2223.7959,93.304,91.698,82.0
equipamento17,7,2659,4256174.7315,6662495.8661,2236.9529,153.603,157.9441,96.002
equipamento17,8,973,4256863.3804,6663463.3989,2163.6234,98.8682,104.7449,77.415
equipamento17,9,2052,4256034.4389,6662271.9409,1355.2369,90.6631,94.1841,75.224
equipamento17,10,6694,4256207.9685,6663490.4722,1343.4937,175.231,178.7258,171.236
equipamento17,11,2247,4256031.1127,6662282.9542,1722.959,90.481,99.7051,84.0
equipamento17,12,1881,4256045.371,6663437.5854,2194.5479,88.927,92.1531,83.324
equipamento17,13,675,4257060.1219,6662270.1988,2051.9373,91.748,88.2461,93.8669
equipamento17,14,1197,4256842.5797,6662275.0669,2169.996,92.7183,97.6631,84.092
equipamento17,15,2146,4256023.0925,6662088.7242,1593.4297,90.4778,93.2332,85.668
equipamento17,16,2236,4256020.5837,6662092.7249,1712.0869,89.4509,95.697,69.604
equipamento17,17,1677,4256045.1785,6663613.2713,1673.5097,88.019,93.8259,72.3149
equipamento17,18,11271,4256856.6005,6663890.5673,3124.6688,284.7881,187.9199,286.865
equipamento17,19,1654,4256047.7411,6663429.6112,1909.7947,95.905,93.739,76.332
equipamento17,20,1762,4256047.0208,6663424.4036,1800.4571,89.6909,92.2668,80.676
